epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.6389,0.49202,0.97979,1,0.58267,0.000236974,0.000236974,0.000236974
2,37.6974,0.14979,0.98626,1,0.57651,0.000470272,0.000470272,0.000470272
1,13.5945,0.67583,0.97898,1,0.60396,0.000233897,0.000233897,0.000233897
2,24.7478,0.08095,0.98868,1,0.56885,0.000467225,0.000467225,0.000467225
3,36.4587,0.10047,0.9612,1,0.59619,0.000695841,0.000695841,0.000695841
4,48.481,0.1318,0.98626,1,0.57031,0.000692794,0.000692794,0.000692794
5,60.5625,0.12037,0.98707,1,0.56831,0.000685726,0.000685726,0.000685726
6,72.6539,0.07054,0.99353,1,0.55972,0.000678657,0.000678657,0.000678657
7,84.7725,0.04711,0.9903,1,0.5647,0.000671588,0.000671588,0.000671588
8,96.7547,0.0364,0.99272,1,0.56045,0.00066452,0.00066452,0.00066452
9,108.824,0.05667,0.99919,1,0.55601,0.000657451,0.000657451,0.000657451
10,120.848,0.04523,0.98222,1,0.5667,0.000650383,0.000650383,0.000650383
11,132.687,0.04385,1,1,0.55249,0.000643314,0.000643314,0.000643314
12,144.798,0.05266,1,1,0.55225,0.000636245,0.000636245,0.000636245
13,156.789,0.04717,1,1,0.55371,0.000629177,0.000629177,0.000629177
14,168.062,0.04017,1,1,0.55259,0.000622108,0.000622108,0.000622108
15,177.874,0.01692,0.99919,1,0.55264,0.00061504,0.00061504,0.00061504
16,190.042,0.02223,1,1,0.5519,0.000607971,0.000607971,0.000607971
17,201.432,0.03393,0.98949,1,0.5623,0.000600902,0.000600902,0.000600902
18,212.786,0.023,1,1,0.55171,0.000593834,0.000593834,0.000593834
19,224.636,0.02584,0.99919,1,0.55254,0.000586765,0.000586765,0.000586765
20,236.778,0.02683,0.99919,1,0.55396,0.000579697,0.000579697,0.000579697
21,248.837,0.02432,1,1,0.55171,0.000572628,0.000572628,0.000572628
22,259.624,0.02575,1,1,0.5521,0.000565559,0.000565559,0.000565559
23,270.57,0.02793,0.99838,1,0.55356,0.000558491,0.000558491,0.000558491
24,282.589,0.0332,0.99757,1,0.55449,0.000551422,0.000551422,0.000551422
25,294.595,0.0302,0.99919,1,0.5519,0.000544354,0.000544354,0.000544354
26,306.561,0.0166,1,1,0.5522,0.000537285,0.000537285,0.000537285
27,318.766,0.01508,1,1,0.55181,0.000530216,0.000530216,0.000530216
28,330.994,0.02497,0.99919,1,0.5522,0.000523148,0.000523148,0.000523148
29,341.845,0.03554,1,1,0.55273,0.000516079,0.000516079,0.000516079
30,353.891,0.02353,1,1,0.55137,0.000509011,0.000509011,0.000509011
31,365.869,0.01793,1,1,0.55181,0.000501942,0.000501942,0.000501942
32,376.773,0.01329,1,1,0.55161,0.000494873,0.000494873,0.000494873
33,387.611,0.00926,1,1,0.55127,0.000487805,0.000487805,0.000487805
34,399.928,0.01709,1,1,0.55137,0.000480736,0.000480736,0.000480736
35,411.915,0.0233,1,1,0.55142,0.000473668,0.000473668,0.000473668
36,424.102,0.01385,1,1,0.55132,0.000466599,0.000466599,0.000466599
37,434.501,0.01188,1,1,0.55151,0.00045953,0.00045953,0.00045953
38,446.345,0.01376,0.99838,1,0.55283,0.000452462,0.000452462,0.000452462
39,458.396,0.01723,1,1,0.55132,0.000445393,0.000445393,0.000445393
40,470.571,0.02305,1,1,0.55156,0.000438325,0.000438325,0.000438325
41,482.446,0.01828,1,1,0.55161,0.000431256,0.000431256,0.000431256
42,494.334,0.01464,1,1,0.5519,0.000424187,0.000424187,0.000424187
43,506.312,0.0162,1,1,0.55137,0.000417119,0.000417119,0.000417119
44,518.227,0.01872,0.99919,1,0.5522,0.00041005,0.00041005,0.00041005
45,530.107,0.00925,1,1,0.55132,0.000402982,0.000402982,0.000402982
46,542.213,0.01174,1,1,0.55127,0.000395913,0.000395913,0.000395913
47,554.226,0.0082,1,1,0.55127,0.000388844,0.000388844,0.000388844
48,566.168,0.006,1,1,0.55127,0.000381776,0.000381776,0.000381776
49,578.119,0.01052,1,1,0.55127,0.000374707,0.000374707,0.000374707
50,590.169,0.00599,1,1,0.55127,0.000367639,0.000367639,0.000367639
51,602.071,0.01592,1,1,0.55142,0.00036057,0.00036057,0.00036057
52,614.139,0.00893,1,1,0.55127,0.000353501,0.000353501,0.000353501
53,626.171,0.00397,1,1,0.55127,0.000346433,0.000346433,0.000346433
54,638.132,0.00913,1,1,0.55127,0.000339364,0.000339364,0.000339364
55,650.053,0.00754,1,1,0.55127,0.000332296,0.000332296,0.000332296
56,662.003,0.00807,1,1,0.55156,0.000325227,0.000325227,0.000325227
57,673.977,0.01426,1,1,0.55132,0.000318158,0.000318158,0.000318158
58,685.909,0.00824,1,1,0.55132,0.00031109,0.00031109,0.00031109
59,698.158,0.01,1,1,0.55137,0.000304021,0.000304021,0.000304021
60,710.45,0.00833,1,1,0.55127,0.000296953,0.000296953,0.000296953
61,722.569,0.00594,1,1,0.55127,0.000289884,0.000289884,0.000289884
62,734.709,0.00483,1,1,0.55132,0.000282815,0.000282815,0.000282815
63,746.744,0.00584,1,1,0.55127,0.000275747,0.000275747,0.000275747
64,758.881,0.00391,1,1,0.55127,0.000268678,0.000268678,0.000268678
65,771.027,0.00353,1,1,0.55127,0.00026161,0.00026161,0.00026161
66,783.164,0.00535,1,1,0.55127,0.000254541,0.000254541,0.000254541
67,794.109,0.00724,1,1,0.55127,0.000247472,0.000247472,0.000247472
68,806.28,0.00571,1,1,0.55151,0.000240404,0.000240404,0.000240404
69,817.367,0.00262,1,1,0.55132,0.000233335,0.000233335,0.000233335
70,829.617,0.00457,1,1,0.55132,0.000226267,0.000226267,0.000226267
71,841.83,0.00759,1,1,0.55127,0.000219198,0.000219198,0.000219198
72,853.77,0.0069,1,1,0.55127,0.000212129,0.000212129,0.000212129
73,865.656,0.00261,1,1,0.55127,0.000205061,0.000205061,0.000205061
74,877.585,0.00222,1,1,0.55127,0.000197992,0.000197992,0.000197992
75,889.452,0.00131,1,1,0.55127,0.000190924,0.000190924,0.000190924
76,901.34,0.00187,1,1,0.55127,0.000183855,0.000183855,0.000183855
77,913.219,0.00262,1,1,0.55127,0.000176786,0.000176786,0.000176786
78,925.138,0.00226,1,1,0.55127,0.000169718,0.000169718,0.000169718
79,937.023,0.0033,1,1,0.55142,0.000162649,0.000162649,0.000162649
80,948.909,0.00132,1,1,0.55132,0.000155581,0.000155581,0.000155581
81,960.776,0.00157,1,1,0.55137,0.000148512,0.000148512,0.000148512
82,972.703,0.00353,1,1,0.55127,0.000141443,0.000141443,0.000141443
83,984.593,0.00072,1,1,0.55127,0.000134375,0.000134375,0.000134375
84,996.47,0.00344,1,1,0.55127,0.000127306,0.000127306,0.000127306
85,1008.39,0.00381,1,1,0.55127,0.000120238,0.000120238,0.000120238
86,1020.29,0.00253,1,1,0.55127,0.000113169,0.000113169,0.000113169
87,1032.19,0.00124,1,1,0.55127,0.0001061,0.0001061,0.0001061
88,1044.12,0.00208,1,1,0.55127,9.90318e-05,9.90318e-05,9.90318e-05
89,1056.03,0.00097,1,1,0.55127,9.19632e-05,9.19632e-05,9.19632e-05
90,1067.95,0.00058,1,1,0.55127,8.48946e-05,8.48946e-05,8.48946e-05
91,1080.4,0.0017,1,1,0.55127,7.7826e-05,7.7826e-05,7.7826e-05
92,1092.33,0.00186,1,1,0.55127,7.07574e-05,7.07574e-05,7.07574e-05
93,1104.26,0.00252,1,1,0.55127,6.36888e-05,6.36888e-05,6.36888e-05
94,1116.18,0.00119,1,1,0.55127,5.66202e-05,5.66202e-05,5.66202e-05
95,1128.11,0.00058,1,1,0.55127,4.95516e-05,4.95516e-05,4.95516e-05
96,1140.03,0.00054,1,1,0.55127,4.2483e-05,4.2483e-05,4.2483e-05
97,1152.05,0.00051,1,1,0.55127,3.54144e-05,3.54144e-05,3.54144e-05
98,1164,0.00109,1,1,0.55127,2.83458e-05,2.83458e-05,2.83458e-05
99,1175.96,0.00082,1,1,0.55127,2.12772e-05,2.12772e-05,2.12772e-05
100,1187.86,0.00066,1,1,0.55127,1.42086e-05,1.42086e-05,1.42086e-05
